IP地址,端口,地区,TLS,数据中心,TCP延迟(ms),等效带宽,速度(MB/s)
35.202.158.120,443,US,TRUE,Chicago,39 ms,482 Mbps,61747 kB/s
198.46.188.190,443,US,TRUE,Buffalo,21 ms,84 Mbps,10854 kB/s
23.94.217.204,443,NL,TRUE,Amsterdam,92 ms,196 Mbps,25088 kB/s
193.122.197.111,443,US,TRUE,Ashburn,13 ms,405 Mbps,51916 kB/s
129.146.7.98,443,US,TRUE,Los Angeles,64 ms,72 Mbps,9243 kB/s
3.144.191.4,443,US,TRUE,Columbus,36 ms,856 Mbps,109568 kB/s
138.3.254.39,443,DE,TRUE,Frankfurt,90 ms,148 Mbps,18944 kB/s
198.23.236.101,443,US,TRUE,San Jose,149 ms,269 Mbps,34508 kB/s
150.136.241.40,443,896 Mbps,TRUE,114688 kB/s,,,
170.106.35.96,443,US,TRUE,Ashburn,15 ms,68 Mbps,8722 kB/s
18.216.55.100,443,US,TRUE,Columbus,24 ms,651 Mbps,83353 kB/s
35.230.79.26,443,US,TRUE,Seattle,69 ms,104 Mbps,13312 kB/s
129.146.254.39,443,US,TRUE,Los Angeles,87 ms,50 Mbps,6489 kB/s
130.61.23.77,443,DE,TRUE,Frankfurt,89 ms,133 Mbps,17100 kB/s
43.153.103.203,443,US,TRUE,San Jose,77 ms,312 Mbps,40038 kB/s
192.9.138.241,443,US,TRUE,San Jose,70 ms,288 Mbps,36966 kB/s
107.172.98.6,443,US,TRUE,Los Angeles,155 ms,275 Mbps,35225 kB/s
184.169.181.217,443,US,TRUE,San Jose,69 ms,328 Mbps,41984 kB/s
152.67.233.64,443,US,TRUE,San Jose,113 ms,118 Mbps,15155 kB/s
18.184.55.249,443,DE,TRUE,Frankfurt,91 ms,218 Mbps,27955 kB/s
35.197.23.75,443,US,TRUE,Seattle,69 ms,276 Mbps,35430 kB/s
198.23.254.51,443,US,TRUE,San Jose,75 ms,234 Mbps,30003 kB/s
18.197.218.69,443,DE,TRUE,Frankfurt,91 ms,216 Mbps,27648 kB/s
84.235.169.234,443,NL,TRUE,Amsterdam,136 ms,45 Mbps,5864 kB/s
